Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Status
hand-stitched-polo,The Hand-Stitched Polo,"Long lasting hand-stitched polo in a heavy material. Dry clean only. THELIVINGSTOP is not responsible for damage caused by incorrect cleaning or care.",THELIVINGSTOP,Apparel & Accessories > Clothing > Shirts & Tops,Polo,"new-in, polo, black, unisex, hand-stitched",TRUE,Title,Default Title,,,TLS-HSP-BLK,1499.00,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-1.jpg,active
hand-stitched-polo,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-2.jpg,
hand-stitched-polo,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-3.jpg,
hand-stitched-polo,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-4.jpg,
hand-stitched-polo,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-5.jpg,
hand-stitched-polo,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-polo-6.jpg,
hand-stitched-round-tee,The Hand-Stitched Round Tee,"Long lasting hand-stitched tee in a heavy material. Dry clean only. THELIVINGSTOP is not responsible for damage caused by incorrect cleaning or care.",THELIVINGSTOP,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"new-in, t-shirt, black, unisex, hand-stitched",TRUE,Title,Default Title,,,TLS-HSRT-BLK,1199.00,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-round-tee-1.jpg,active
hand-stitched-round-tee,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/hand-stitched-round-tee-2.jpg,
stitched-tee,The Stitched Tee,"Long lasting stitched tee. Dry clean only. THELIVINGSTOP is not responsible for damage caused by incorrect cleaning or care.",THELIVINGSTOP,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"new-in, t-shirt, black, unisex, stitched",TRUE,Title,Default Title,,,TLS-ST-BLK,850.00,deny,manual,TRUE,TRUE,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/stitched-tee-1.jpg,active
stitched-tee,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/stitched-tee-2.jpg,
stitched-tee,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/stitched-tee-3.jpg,
stitched-tee,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Bahr-b12/thelivingstop/main/assets/stitched-tee-4.jpg,
